type,issue,evidence,risk_band,recommended_action,expected_business_benefit,urgency,supporting_metrics
Inventory Replenishment,SKU-00087 at South Noah Distribution Center has a 53% probability of stockout next week (High risk).,"Demand increased 46% (2025 -> 2954 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 4.2 to 3.4 days of supply.; Late deliveries for this product-warehouse rose from 2 to 7 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹3,515 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.529, 'sku': 'SKU-00087', 'warehouse': 'South Noah Distribution Center'}"
Inventory Replenishment,SKU-00087 at Lake Mark Distribution Center has a 69% probability of stockout next week (High risk).,"Demand decreased 17% (1850 -> 1538 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹4,731 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.691, 'sku': 'SKU-00087', 'warehouse': 'Lake Mark Distribution Center'}"
Inventory Replenishment,SKU-00089 at Jacquelineland Distribution Center has a 52% probability of stockout next week (High risk).,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,720 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.515, 'sku': 'SKU-00089', 'warehouse': 'Jacquelineland Distribution Center'}"
Inventory Replenishment,SKU-00091 at South Noah Distribution Center has a 52% probability of stockout next week (High risk).,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,043 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.524, 'sku': 'SKU-00091', 'warehouse': 'South Noah Distribution Center'}"
Inventory Replenishment,SKU-00092 at East Jill Distribution Center has a 66% probability of stockout next week (High risk).,"Demand increased 88% (1580 -> 2969 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 4 to 7 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 3 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,303 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.66, 'sku': 'SKU-00092', 'warehouse': 'East Jill Distribution Center'}"
Inventory Replenishment,SKU-00092 at Cassandraton Distribution Center has a 53% probability of stockout next week (High risk).,"Demand decreased 17% (1794 -> 1486 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 8.7 to 5.7 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,815 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.528, 'sku': 'SKU-00092', 'warehouse': 'Cassandraton Distribution Center'}"
Inventory Replenishment,SKU-00095 at Jacquelineland Distribution Center has a 70% probability of stockout next week (High risk).,"Demand increased 16% (823 -> 956 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 2.4 to 9.5 days of supply.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,279 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.701, 'sku': 'SKU-00095', 'warehouse': 'Jacquelineland Distribution Center'}"
Inventory Replenishment,SKU-00096 at Herrerafurt Distribution Center has a 51% probability of stockout next week (High risk).,"Demand decreased 10% (1680 -> 1510 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹728 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.509, 'sku': 'SKU-00096', 'warehouse': 'Herrerafurt Distribution Center'}"
Inventory Replenishment,SKU-00097 at East Jessetown Distribution Center has a 61% probability of stockout next week (High risk).,Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹4,167 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.608, 'sku': 'SKU-00097', 'warehouse': 'East Jessetown Distribution Center'}"
Inventory Replenishment,SKU-00097 at Lake Chad Distribution Center has a 70% probability of stockout next week (High risk).,"Demand increased 25% (294 -> 368 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹4,861 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.7, 'sku': 'SKU-00097', 'warehouse': 'Lake Chad Distribution Center'}"
Inventory Replenishment,SKU-00099 at North Judithbury Distribution Center has a 53% probability of stockout next week (High risk).,"Demand increased 29% (1625 -> 2100 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 2.0 to 8.1 days of supply.; Late deliveries for this product-warehouse rose from 3 to 5 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 2 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹240 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.526, 'sku': 'SKU-00099', 'warehouse': 'North Judithbury Distribution Center'}"
Inventory Replenishment,SKU-00099 at East Jill Distribution Center has a 61% probability of stockout next week (High risk).,Late deliveries for this product-warehouse rose from 1 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹286 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.612, 'sku': 'SKU-00099', 'warehouse': 'East Jill Distribution Center'}"
Inventory Replenishment,SKU-00099 at Robinsonshire Distribution Center has a 54% probability of stockout next week (High risk).,Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹249 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.54, 'sku': 'SKU-00099', 'warehouse': 'Robinsonshire Distribution Center'}"
Inventory Replenishment,SKU-00099 at Ericmouth Distribution Center has a 68% probability of stockout next week (High risk).,"Demand decreased 33% (1785 -> 1205 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹314 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.682, 'sku': 'SKU-00099', 'warehouse': 'Ericmouth Distribution Center'}"
Inventory Replenishment,SKU-00099 at Herrerafurt Distribution Center has a 75% probability of stockout next week (High risk).,Late deliveries for this product-warehouse rose from 0 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹351 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.75, 'sku': 'SKU-00099', 'warehouse': 'Herrerafurt Distribution Center'}"
Inventory Replenishment,SKU-00099 at Jacquelineland Distribution Center has a 61% probability of stockout next week (High risk).,Inventory coverage declined from 4.1 to 1.0 days of supply.; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹277 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.606, 'sku': 'SKU-00099', 'warehouse': 'Jacquelineland Distribution Center'}"
Inventory Replenishment,SKU-00104 at Herrerafurt Distribution Center has a 52% probability of stockout next week (High risk).,"Demand decreased 21% (221 -> 175 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,005 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.519, 'sku': 'SKU-00104', 'warehouse': 'Herrerafurt Distribution Center'}"
Inventory Replenishment,SKU-00108 at Port Keith Distribution Center has a 62% probability of stockout next week (High risk).,"Demand decreased 22% (147 -> 114 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,047 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.624, 'sku': 'SKU-00108', 'warehouse': 'Port Keith Distribution Center'}"
Inventory Replenishment,SKU-00109 at Herrerafurt Distribution Center has a 60% probability of stockout next week (High risk).,"Demand increased 83% (1189 -> 2176 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 2 to 8 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 3 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹950 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.597, 'sku': 'SKU-00109', 'warehouse': 'Herrerafurt Distribution Center'}"
Inventory Replenishment,SKU-00111 at Lake Mark Distribution Center has a 58% probability of stockout next week (High risk).,"Demand increased 36% (2159 -> 2936 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,379 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.579, 'sku': 'SKU-00111', 'warehouse': 'Lake Mark Distribution Center'}"
Inventory Replenishment,SKU-00112 at Herrerafurt Distribution Center has a 53% probability of stockout next week (High risk).,"Demand decreased 53% (2658 -> 1254 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹817 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.529, 'sku': 'SKU-00112', 'warehouse': 'Herrerafurt Distribution Center'}"
Inventory Replenishment,SKU-00112 at Jacquelineland Distribution Center has a 56% probability of stockout next week (High risk).,"Demand decreased 14% (1384 -> 1194 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹880 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.557, 'sku': 'SKU-00112', 'warehouse': 'Jacquelineland Distribution Center'}"
Inventory Replenishment,SKU-00114 at East Jill Distribution Center has a 52% probability of stockout next week (High risk).,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,161 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.517, 'sku': 'SKU-00114', 'warehouse': 'East Jill Distribution Center'}"
Inventory Replenishment,SKU-00115 at North Noahstad Distribution Center has a 61% probability of stockout next week (High risk).,Inventory coverage declined from 10.0 to 7.5 days of supply.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹11,785 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.609, 'sku': 'SKU-00115', 'warehouse': 'North Noahstad Distribution Center'}"
Inventory Replenishment,SKU-00116 at Lake Chad Distribution Center has a 56% probability of stockout next week (High risk).,"Demand increased 13% (804 -> 909 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,307 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.557, 'sku': 'SKU-00116', 'warehouse': 'Lake Chad Distribution Center'}"
Inventory Replenishment,SKU-00116 at Port Keith Distribution Center has a 51% probability of stockout next week (High risk).,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,060 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.506, 'sku': 'SKU-00116', 'warehouse': 'Port Keith Distribution Center'}"
Inventory Replenishment,SKU-00116 at Ramirezstad Distribution Center has a 63% probability of stockout next week (High risk).,"Demand increased 27% (849 -> 1075 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 15.3 to 11.5 days of supply.; Late deliveries for this product-warehouse rose from 2 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,636 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.631, 'sku': 'SKU-00116', 'warehouse': 'Ramirezstad Distribution Center'}"
Inventory Replenishment,SKU-00116 at West Michael Distribution Center has a 58% probability of stockout next week (High risk).,"Demand increased 64% (611 -> 1000 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,389 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.576, 'sku': 'SKU-00116', 'warehouse': 'West Michael Distribution Center'}"
Inventory Replenishment,SKU-00116 at New Jessica Distribution Center has a 74% probability of stockout next week (High risk).,"Demand increased 18% (1120 -> 1318 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 5 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹3,048 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.74, 'sku': 'SKU-00116', 'warehouse': 'New Jessica Distribution Center'}"
Supplier Review,"Brown, James and Ferrell has a risk score of 55.8/100 (High).",Average lead time increased from 8.5 to 9.8 days (+15%).,High,Schedule a supplier performance review meeting and request a corrective action plan.,Reduces downstream stockout and late-delivery risk for all SKUs sourced from this supplier.,This month,"{'risk_score': 55.8, 'supplier_name': 'Brown, James and Ferrell'}"
Supplier Review,"Lynch, Hernandez and Farmer has a risk score of 58.1/100 (High).",No material change in this supplier's OTIF or lead time over the recent comparison window.,High,Schedule a supplier performance review meeting and request a corrective action plan.,Reduces downstream stockout and late-delivery risk for all SKUs sourced from this supplier.,This month,"{'risk_score': 58.1, 'supplier_name': 'Lynch, Hernandez and Farmer'}"
Supplier Review,Walker LLC has a risk score of 56.8/100 (High).,No material change in this supplier's OTIF or lead time over the recent comparison window.,High,Schedule a supplier performance review meeting and request a corrective action plan.,Reduces downstream stockout and late-delivery risk for all SKUs sourced from this supplier.,This month,"{'risk_score': 56.8, 'supplier_name': 'Walker LLC'}"
Supplier Review,Nunez Ltd has a risk score of 58.5/100 (High).,No material change in this supplier's OTIF or lead time over the recent comparison window.,High,Schedule a supplier performance review meeting and request a corrective action plan.,Reduces downstream stockout and late-delivery risk for all SKUs sourced from this supplier.,This month,"{'risk_score': 58.5, 'supplier_name': 'Nunez Ltd'}"
Supplier Review,Martin Inc has a risk score of 56.6/100 (High).,No material change in this supplier's OTIF or lead time over the recent comparison window.,High,Schedule a supplier performance review meeting and request a corrective action plan.,Reduces downstream stockout and late-delivery risk for all SKUs sourced from this supplier.,This month,"{'risk_score': 56.6, 'supplier_name': 'Martin Inc'}"
Supplier Review,"Wheeler, Harvey and Barnes has a risk score of 62.8/100 (High).","OTIF deteriorated 20% (53.8% -> 43.0%, trailing 2mo vs prior 2mo).",High,Schedule a supplier performance review meeting and request a corrective action plan.,Reduces downstream stockout and late-delivery risk for all SKUs sourced from this supplier.,This month,"{'risk_score': 62.8, 'supplier_name': 'Wheeler, Harvey and Barnes'}"
Supplier Review,Allen-Foster has a risk score of 58.7/100 (High).,"OTIF deteriorated 30% (60.4% -> 42.2%, trailing 2mo vs prior 2mo).; Average lead time increased from 13.3 to 14.6 days (+9%).",High,Schedule a supplier performance review meeting and request a corrective action plan.,Reduces downstream stockout and late-delivery risk for all SKUs sourced from this supplier.,This month,"{'risk_score': 58.7, 'supplier_name': 'Allen-Foster'}"
Inventory Reallocation,SKU-00046 at Lake Chad Distribution Center is carrying 22 days of supply (well above the network median).,"Average inventory on hand: 500 units, tying up ~₹7,229 in working capital.",Medium,Evaluate reallocating excess stock to higher-demand warehouses or reducing next reorder quantity.,"Potential to free up ~₹1,590/year in holding costs.",This month,"{'avg_days_of_supply': 21.6, 'sku': 'SKU-00046'}"
Inventory Reallocation,SKU-00029 at North Noahstad Distribution Center is carrying 21 days of supply (well above the network median).,"Average inventory on hand: 1702 units, tying up ~₹58,563 in working capital.",Medium,Evaluate reallocating excess stock to higher-demand warehouses or reducing next reorder quantity.,"Potential to free up ~₹12,884/year in holding costs.",This month,"{'avg_days_of_supply': 20.9, 'sku': 'SKU-00029'}"
Inventory Reallocation,SKU-00036 at Lake Chad Distribution Center is carrying 19 days of supply (well above the network median).,"Average inventory on hand: 622 units, tying up ~₹17,567 in working capital.",Medium,Evaluate reallocating excess stock to higher-demand warehouses or reducing next reorder quantity.,"Potential to free up ~₹3,865/year in holding costs.",This month,"{'avg_days_of_supply': 18.6, 'sku': 'SKU-00036'}"
Inventory Reallocation,SKU-00104 at Ericmouth Distribution Center is carrying 18 days of supply (well above the network median).,"Average inventory on hand: 507 units, tying up ~₹12,957 in working capital.",Medium,Evaluate reallocating excess stock to higher-demand warehouses or reducing next reorder quantity.,"Potential to free up ~₹2,851/year in holding costs.",This month,"{'avg_days_of_supply': 18.5, 'sku': 'SKU-00104'}"
Inventory Reallocation,SKU-00036 at Herrerafurt Distribution Center is carrying 18 days of supply (well above the network median).,"Average inventory on hand: 645 units, tying up ~₹18,235 in working capital.",Medium,Evaluate reallocating excess stock to higher-demand warehouses or reducing next reorder quantity.,"Potential to free up ~₹4,012/year in holding costs.",This month,"{'avg_days_of_supply': 18.2, 'sku': 'SKU-00036'}"
Inventory Reallocation,SKU-00104 at Cassandraton Distribution Center is carrying 18 days of supply (well above the network median).,"Average inventory on hand: 568 units, tying up ~₹14,531 in working capital.",Medium,Evaluate reallocating excess stock to higher-demand warehouses or reducing next reorder quantity.,"Potential to free up ~₹3,197/year in holding costs.",This month,"{'avg_days_of_supply': 18.2, 'sku': 'SKU-00104'}"
Inventory Reallocation,SKU-00072 at East Jill Distribution Center is carrying 18 days of supply (well above the network median).,"Average inventory on hand: 2326 units, tying up ~₹175,029 in working capital.",Medium,Evaluate reallocating excess stock to higher-demand warehouses or reducing next reorder quantity.,"Potential to free up ~₹38,506/year in holding costs.",This month,"{'avg_days_of_supply': 17.8, 'sku': 'SKU-00072'}"
Inventory Reallocation,SKU-00104 at Jacquelineland Distribution Center is carrying 17 days of supply (well above the network median).,"Average inventory on hand: 465 units, tying up ~₹11,900 in working capital.",Medium,Evaluate reallocating excess stock to higher-demand warehouses or reducing next reorder quantity.,"Potential to free up ~₹2,618/year in holding costs.",This month,"{'avg_days_of_supply': 17.3, 'sku': 'SKU-00104'}"
Inventory Reallocation,SKU-00102 at Robinsonshire Distribution Center is carrying 17 days of supply (well above the network median).,"Average inventory on hand: 726 units, tying up ~₹31,283 in working capital.",Medium,Evaluate reallocating excess stock to higher-demand warehouses or reducing next reorder quantity.,"Potential to free up ~₹6,882/year in holding costs.",This month,"{'avg_days_of_supply': 17.2, 'sku': 'SKU-00102'}"
Inventory Reallocation,SKU-00104 at Lake Roberto Distribution Center is carrying 17 days of supply (well above the network median).,"Average inventory on hand: 390 units, tying up ~₹9,980 in working capital.",Medium,Evaluate reallocating excess stock to higher-demand warehouses or reducing next reorder quantity.,"Potential to free up ~₹2,196/year in holding costs.",This month,"{'avg_days_of_supply': 17.1, 'sku': 'SKU-00104'}"
